,_RAJ2000,_DEJ2000,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,Simbad,NED,LEDA,_RA,_DE,id
53,159.23346,21.88217,NGC3301   ,0.81,0.507,0.324,G,0.676,0.55,0.603,0.461,F,F,Simbad,NED,LEDA,159.23346,21.88217,56
54,161.92667,13.98564,NGC3377   ,0.42,0.503,0.503,G,0.564,0.564,0.522,0.522,F,F,Simbad,NED,LEDA,161.92667,13.98564,57
55,161.95667,12.58163,NGC3379   ,0.5,0.104,0.104,G,0.152,0.152,0.157,0.157,F,F,Simbad,NED,LEDA,161.95667,12.58163,58
56,162.07042,12.62858,NGC3384   ,0.54,0.065,0.058,G,0.456,0.449,0.407,0.397,F,F,Simbad,NED,LEDA,162.07042,12.62858,59
57,162.68959,28.46893,NGC3400   ,1.02,0.437,0.437,C,0.764,0.48,0.664,0.47,F,F,Simbad,NED,LEDA,162.68959,28.46893,60
58,162.72214,13.41214,NGC3412   ,0.51,0.441,0.441,C,0.375,0.371,0.406,0.403,F,F,Simbad,NED,LEDA,162.72214,13.41214,61
59,163.70259,17.62116,NGC3457   ,1.28,0.033,0.032,S,0.109,0.091,0.104,0.086,F,F,Simbad,NED,LEDA,163.70259,17.62116,63
60,164.00604,57.11697,NGC3458   ,1.61,0.231,0.114,G,0.438,0.245,0.461,0.25,F,F,Simbad,NED,LEDA,164.00604,57.11697,64
61,165.07745,13.90126,NGC3489   ,0.77,0.262,0.221,G,0.687,0.621,0.589,0.552,F,F,Simbad,NED,LEDA,165.07745,13.90126,65
62,165.79628,56.22166,NGC3499   ,2.03,0.139,0.143,G,0.323,0.236,0.318,0.227,F,F,Simbad,NED,LEDA,165.79628,56.22166,66
63,167.16841,57.23016,NGC3530   ,1.91,0.642,0.555,G,0.741,0.554,0.656,0.537,F,F,Simbad,NED,LEDA,167.16841,57.23016,68
64,168.85646,47.44715,NGC3595   ,1.1,0.507,0.376,G,0.456,0.278,0.51,0.301,F,F,Simbad,NED,LEDA,168.85646,47.44715,69
65,168.8623,18.11037,NGC3599   ,0.65,0.08,0.08,C,0.273,0.241,0.282,0.239,F,F,Simbad,NED,LEDA,168.8623,18.11037,70
66,169.19426,18.01714,NGC3605   ,0.95,0.409,0.353,R,0.415,0.336,0.434,0.347,F,F,Simbad,NED,LEDA,169.19426,18.01714,71
67,169.22774,18.05181,NGC3607   ,0.6,0.185,0.194,G,0.283,0.294,0.209,0.228,F,F,Simbad,NED,LEDA,169.22774,18.05181,72
